title,price,location,date,link
Set analog 3D joystick controller PS4/PS4 PRO/Xbox One - de calitate,30 lei,N/A,N/A,https://www.olx.ro/d/oferta/set-analog-3d-joystick-controller-ps4-ps4-pro-xbox-one-de-calitate-IDhZqGs.html?search_reason=search%7Corganic
volan gaming pc/playstation/xbox genesis seaborg 350,350380 lei,N/A,N/A,https://www.olx.ro/d/oferta/volan-gaming-pc-playstation-xbox-genesis-seaborg-350-IDkK1kp.html?search_reason=search%7Corganic
Tastatura Gaming Wireless KLIM Chroma ( 100% ),"109,99 lei",N/A,N/A,https://www.olx.ro/d/oferta/tastatura-gaming-wireless-klim-chroma-100-IDkoZ3w.html?search_reason=search%7Corganic
Controller Xbox One S,150 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-xbox-one-s-IDfCkjS.html?search_reason=search%7Corganic
Borseta copii Zara consola xbox,70 lei,N/A,N/A,https://www.olx.ro/d/oferta/borseta-copii-zara-consola-xbox-IDjtJ0X.html?search_reason=search%7Corganic
Professional Farmer 2017 xbox one,80 lei,N/A,N/A,https://www.olx.ro/d/oferta/professional-farmer-2017-xbox-one-IDkt133.html?search_reason=search%7Corganic
casti gaming asus tuf h3 pt ps5 xbox pc nintendo etc,120 lei,N/A,N/A,https://www.olx.ro/d/oferta/casti-gaming-asus-tuf-h3-pt-ps5-xbox-pc-nintendo-etc-IDkA1s9.html?search_reason=search%7Corganic
Vand x box one s,500 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-x-box-one-s-IDkHfHh.html?search_reason=search%7Corganic
Thumbstick PS5 Xbox,15 lei,N/A,N/A,https://www.olx.ro/d/oferta/thumbstick-ps5-xbox-IDkIAPe.html?search_reason=search%7Corganic
"Pachet Home Cinema Premium: Smart TV Hisense MiniLED 65"" (165cm) + Logitech Z906 5.1 THX",000 lei,N/A,N/A,https://www.olx.ro/d/oferta/pachet-home-cinema-premium-smart-tv-hisense-miniled-65-165cm-logitech-z906-5-1-thx-IDkJEGX.html?search_reason=search%7Corganic
